"STATION","DATE","TMAX","TMAX_ATTRIBUTES"
"USW00012839","2015-06-25","92",",,W"
"USW00012839","2015-06-26","90",",,W"
"USW00012839","2015-06-27","92",",,W"
"USW00012839","2015-06-28","91",",,W"
"USW00012839","2015-06-29","93",",,W"
"USW00012839","2015-06-30","95",",,W"
"USW00012839","2015-07-01","92",",,W"
"USW00012839","2015-07-02","92",",,W"
"USW00012839","2015-07-03","92",",,W"
"USW00012839","2015-07-04","91",",,W"
"USW00012839","2015-07-05","91",",,W"
"USW00012839","2015-07-06","91",",,W"
"USW00012839","2015-07-07","91",",,W"
"USW00012839","2015-07-08","91",",,W"
"USW00012839","2015-07-09","91",",,W"
"USW00012839","2015-07-10","91",",,W"
"USW00012839","2015-07-11","92",",,W"
"USW00012839","2015-07-12","92",",,W"
"USW00012839","2015-07-13","93",",,W"
"USW00012839","2015-07-14","91",",,W"
"USW00012839","2015-07-15","90",",,W"
"USW00012839","2015-07-16","87",",,W"
"USW00012839","2015-07-17","92",",,W"
"USW00012839","2015-07-18","90",",,W"
"USW00012839","2015-07-19","91",",,W"
"USW00012839","2015-07-20","90",",,W"
"USW00012839","2015-07-21","92",",,W"
"USW00012839","2015-07-22","92",",,W"
"USW00012839","2015-07-23","93",",,W"
"USW00012839","2015-07-24","95",",,W"
"USW00012839","2015-07-25","88",",,W"
"USW00012839","2015-07-26","85",",,W"
"USW00012839","2015-07-27","93",",,W"
"USW00012839","2015-07-28","94",",,W"
"USW00012839","2015-07-29","96",",,W"
"USW00012839","2015-07-30","95",",,W"
"USW00012839","2015-07-31","92",",,W"
"USW00012839","2015-08-01","91",",,W"
"USW00012839","2015-08-02","91",",,W"
"USW00012839","2015-08-03","91",",,W"
"USW00012839","2015-08-04","92",",,W"
"USW00012839","2015-08-05","92",",,W"
"USW00012839","2015-08-06","92",",,W"
"USW00012839","2015-08-07","92",",,W"
"USW00012839","2015-08-08","93",",,W"
"USW00012839","2015-08-09","94",",,W"
"USW00012839","2015-08-10","92",",,W"
"USW00012839","2015-08-11","92",",,W"
"USW00012839","2015-08-12","94",",,W"
"USW00012839","2015-08-13","91",",,W"
"USW00012839","2015-08-14","92",",,W"
"USW00012839","2015-08-15","90",",,W"
"USW00012839","2015-08-16","91",",,W"
"USW00012839","2015-08-17","91",",,W"
"USW00012839","2015-08-18","91",",,W"
"USW00012839","2015-08-19","91",",,W"
"USW00012839","2015-08-20","91",",,W"
"USW00012839","2015-08-21","91",",,W"
"USW00012839","2015-08-22","93",",,W"
"USW00012839","2015-08-23","93",",,W"
"USW00012839","2015-08-24","91",",,W"
"USW00012839","2015-08-25","92",",,W"
"USW00012839","2015-08-26","90",",,W"
"USW00012839","2015-08-27","90",",,W"
"USW00012839","2015-08-28","92",",,W"
"USW00012839","2015-08-29","93",",,W"
"USW00012839","2015-08-30","84",",,W"
"USW00012839","2015-08-31","91",",,W"
"USW00012839","2015-09-01","91",",,W"
"USW00012839","2015-09-02","91",",,W"
"USW00012839","2015-09-03","93",",,W"
"USW00012839","2015-09-04","94",",,W"
"USW00012839","2015-09-05","92",",,W"
"USW00012839","2015-09-06","91",",,W"
"USW00012839","2015-09-07","86",",,W"
"USW00012839","2015-09-08","91",",,W"
"USW00012839","2015-09-09","90",",,W"
"USW00012839","2015-09-10","92",",,W"
"USW00012839","2015-09-11","92",",,W"
"USW00012839","2015-09-12","91",",,W"
"USW00012839","2015-09-13","92",",,W"
"USW00012839","2015-09-14","91",",,W"
"USW00012839","2015-09-15","90",",,W"
"USW00012839","2015-09-16","86",",,W"
"USW00012839","2015-09-17","88",",,W"
"USW00012839","2015-09-18","88",",,W"
"USW00012839","2015-09-19","91",",,W"
"USW00012839","2015-09-20","93",",,W"
"USW00012839","2015-09-21","89",",,W"
"USW00012839","2015-09-22","87",",,W"
"USW00012839","2015-09-23","87",",,W"
"USW00012839","2015-09-24","85",",,W"
"USW00012839","2015-09-25","90",",,W"
"USW00012839","2015-09-26","89",",,W"
"USW00012839","2015-09-27","87",",,W"
"USW00012839","2015-09-28","88",",,W"
"USW00012839","2015-09-29","89",",,W"
"USW00012839","2015-09-30","92",",,W"
"USW00012839","2015-10-01","91",",,W"
"USW00012839","2015-10-02","91",",,W"
"USW00012839","2015-10-03","88",",,W"
"USW00012839","2015-10-04","87",",,W"
"USW00012839","2015-10-05","87",",,W"
"USW00012839","2015-10-06","85",",,W"
"USW00012839","2015-10-07","88",",,W"
"USW00012839","2015-10-08","88",",,W"
"USW00012839","2015-10-09","89",",,W"
"USW00012839","2015-10-10","90",",,W"
"USW00012839","2015-10-11","86",",,W"
"USW00012839","2015-10-12","88",",,W"
"USW00012839","2015-10-13","88",",,W"
"USW00012839","2015-10-14","90",",,W"
"USW00012839","2015-10-15","88",",,W"
"USW00012839","2015-10-16","83",",,W"
"USW00012839","2015-10-17","84",",,W"
"USW00012839","2015-10-18","85",",,W"
"USW00012839","2015-10-19","84",",,W"
"USW00012839","2015-10-20","84",",,W"
"USW00012839","2015-10-21","86",",,W"
"USW00012839","2015-10-22","85",",,W"
"USW00012839","2015-10-23","84",",,W"
"USW00012839","2015-10-24","85",",,W"
"USW00012839","2015-10-25","85",",,W"
"USW00012839","2015-10-26","85",",,W"
"USW00012839","2015-10-27","85",",,W"
"USW00012839","2015-10-28","81",",,W"
"USW00012839","2015-10-29","89",",,W"
"USW00012839","2015-10-30","89",",,W"
"USW00012839","2015-10-31","84",",,W"
"USW00012839","2015-11-01","87",",,W"
"USW00012839","2015-11-02","87",",,W"
"USW00012839","2015-11-03","87",",,W"
"USW00012839","2015-11-04","88",",,W"
"USW00012839","2015-11-05","86",",,W"
"USW00012839","2015-11-06","86",",,W"
"USW00012839","2015-11-07","87",",,W"
"USW00012839","2015-11-08","87",",,W"
"USW00012839","2015-11-09","88",",,W"
"USW00012839","2015-11-10","89",",,W"
"USW00012839","2015-11-11","88",",,W"
"USW00012839","2015-11-12","87",",,W"
"USW00012839","2015-11-13","88",",,W"
"USW00012839","2015-11-14","79",",,W"
"USW00012839","2015-11-15","78",",,W"
"USW00012839","2015-11-16","80",",,W"
"USW00012839","2015-11-17","85",",,W"
"USW00012839","2015-11-18","85",",,W"
"USW00012839","2015-11-19","85",",,W"
"USW00012839","2015-11-20","86",",,W"
"USW00012839","2015-11-21","83",",,W"
"USW00012839","2015-11-22","85",",,W"
"USW00012839","2015-11-23","78",",,W"
"USW00012839","2015-11-24","77",",,W"
"USW00012839","2015-11-25","79",",,W"
"USW00012839","2015-11-26","80",",,W"
"USW00012839","2015-11-27","81",",,W"
"USW00012839","2015-11-28","81",",,W"
